candidate_id,rank,score,reasoning
CAND_0043318,91,0.5838,"6.2y experience, currently Data Scientist; hands-on retrieval/search and LLM fine-tuning evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: python, retrieval, pgvector, peft; Tier-1/2 institute background; AI/product company background; risk flag: long notice period; self-rated skills exceed measured assessment; gap: little production ownership or deployment evidence; borderline top-100 inclusion"
CAND_0032807,92,0.5829,"Machine Learning Engineer with 4.2y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: python, retrieval, milvus, fine-tuning llms; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence; borderline top-100 inclusion"
CAND_0019480,93,0.5809,"Currently NLP Engineer (2.8y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: retrieval, milvus, bm25; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership; borderline top-100 inclusion"
CAND_0051004,94,0.5809,"Senior Data Scientist with 4.7y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, vector search, fine-tuning llms, recommendation systems; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence; borderline top-100 inclusion"
CAND_0078002,95,0.5805,"Currently Machine Learning Engineer (6.3y experience); hands-on embeddings and retrieval/search evidence (career history mentions ""embedding""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: rag, pgvector, lora, recommendation systems; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership; borderline top-100 inclusion"
CAND_0016163,96,0.5797,"6.7y experience, currently Applied ML Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: retrieval, pgvector, lora, ranking; AI/product company background; risk flag: long notice period; gap: little production ownership or deployment evidence; borderline top-100 inclusion"
CAND_0044883,97,0.5795,"Currently AI Engineer (6.3y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: retrieval, fine-tuning llms, bm25; AI/product company background; gap: JD skills not evidenced: Python, vector DB tools, evaluation metrics; borderline top-100 inclusion"
CAND_0047721,98,0.5764,"7.0y experience, currently Senior Data Scientist; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: retrieval, qdrant, learning to rank, milvus; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership; borderline top-100 inclusion"
CAND_0075574,99,0.5757,"Currently Machine Learning Engineer (5.7y experience); hands-on embeddings and ranking evidence (career history mentions ""embedding""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: rag, vector search, ranking, qdrant; Tier-1/2 institute background; gap: production claims use hedged language, suggesting support work rather than full ownership; borderline top-100 inclusion"
CAND_0015528,100,0.5756,"Applied ML Engineer with 7.4y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: retrieval, pgvector, lora, ranking; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence; borderline top-100 inclusion"
